id,name,birthdate,deathdate
1,50 Cent,7/6/75,
2,A. Michael Baldwin,4/4/63,
3,A. Raven Cruz,,
4,A.J. Buckley,2/9/78,
5,A.J. DeLucia,,
6,A.J. Langer,5/22/74,
7,Aaliyah,1/16/79,8/25/01
8,Aaron Ashmore,10/7/79,
9,Aaron Hann,,
10,Aaron Hill,4/23/83,
11,Aaron Hughes,,
12,Aaron Kwok,10/26/65,
13,Aaron Schneider,,
14,Aaron Seltzer,1/12/74,
15,Aaron Stanford,12/27/76,
16,Aaron Staton,,
17,Aaron Yoo,5/12/79,
18,Aasheekaa Bathija,,
19,Aasif Mandvi,3/5/66,
20,Abbie Cornish,8/7/82,
21,Abby Elliott,6/16/87,
22,Abby Mukiibi Nkaaga,,
23,Abel Ferrara,7/19/51,
24,Abhishek Bachchan,2/5/76,
25,Abigail Evans,,
26,Abigail Spencer,8/4/81,
27,Abraham Benrubi,10/4/69,
28,Ace Marrero,7/28/82,
29,Adam Alexi-Malle,9/24/64,
30,Adam Arkin,8/19/56,
31,Adam Baldwin,2/27/62,
32,Adam Boyer,,
33,Adam Brooks,9/3/56,
34,Adam Brown,,
35,Adam Butcher,10/20/88,
36,Adam Carolla,5/27/64,
37,Adam Copeland,10/30/73,
38,Adam DiMarco,4/14/90,
39,Adam Garcia,6/1/73,
40,Adam Goldberg,10/25/70,
41,Adam Green,3/31/75,
42,Adam Hicks,11/28/92,
43,Adam Jay Epstein,,
44,Adam Lamberg,9/14/84,
45,Adam LeFevre,8/11/50,
46,Adam Marcus,,
47,Adam McKay,4/17/68,
48,Adam Rapp,6/15/68,
49,Adam Ratcliffe,,
50,Adam Rayner,,
51,Adam Rifkin,12/31/66,
52,Adam Sandler,9/9/66,
53,Adam Scott,4/3/73,
54,Adam Shankman,11/27/64,
55,Adam Trese,1/4/69,
56,Adel Karam,,
57,Adelaide Kane,8/9/90,
58,Aden Young,,
59,Adhir Kalyan,8/4/83,
60,Aditya Roy Kapoor,11/16/85,
61,Adolphe Menjou,1890-02-18,10/29/63
62,Adrian Alonso,4/6/94,
63,Adrian Gonzalez,5/8/38,10/23/98
64,Adrian Holmes,3/31/74,
65,Adrian Lester,8/14/68,
66,Adrian Lyne,3/4/41,
67,Adrian Martinez,,
68,Adrian Pasdar,4/30/65,
69,Adrian Paul,5/29/59,
70,Adriana Barraza,3/5/56,
71,Adriana Caselotti,5/16/16,1/19/97
72,Adriane Lenox,9/11/56,
73,Adriano Giannini,5/10/71,
74,Adrien Dorval,3/22/63,
75,Adrienne Barbeau,6/11/45,
76,Adrienne Frantz,6/7/78,
77,Adrienne King,7/21/55,
78,Adrienne Pickering,2/22/81,
79,Adrienne Shelly,6/24/66,11/1/06
80,Agame Malembo-Emene,,
